ID_REF,VALUE
100507462_at,3.2376
100507463_at,8.3376
100507466_at,3.6642
100507468_at,3.6264
100507470_at,3.4635
100507475_at,6.3296
100507477_at,3.9595
100507479_at,4.7882
100507480_at,3.7671
100507486_at,6.5534
100507487_at,5.3127
100507492_at,4.6226
100507493_at,6.1818
100507495_at,5.3963
100507498_at,3.4583
100507501_at,6.5475
100507506_at,4.2692
100507507_at,8.5273
100507511_at,3.4444
100507513_at,3.5629
100507516_at,4.6168
100507520_at,3.9555
100507524_at,3.4268
100507525_at,3.8044
100507530_at,4.1787
100507531_at,3.7463
100507534_at,3.5252
100507537_at,3.2058
100507540_at,4.1832
100507547_at,6.2048
100507557_at,5.0605
100507560_at,3.8486
100507562_at,3.8232
100507563_at,4.0913
100507564_at,3.9126
100507567_at,4.9961
100507568_at,3.639
100507570_at,3.7674
100507575_at,4.0115
100507579_at,3.5255
100507580_at,3.54
100507584_at,3.8626
100507594_at,3.6121
100507596_at,3.653
100507599_at,9.3575
100507600_at,3.7691
100507602_at,8.1614
100507603_at,3.199
100507605_at,3.5434
100507616_at,3.5608
100507619_at,10.616
100507629_at,3.4561
100507630_at,3.7193
100507632_at,3.5722
100507634_at,3.801
100507642_at,6.2416
100507652_at,3.857
100507653_at,4.0063
100507654_at,3.649
100507660_at,3.6762
100507670_at,6.7494
100507672_at,5.2452
100507675_at,4.4753
100507739_at,6.7333
100508995_at,4.7251
100509100_at,4.7344
100509205_at,4.5855
10051_at,11.825
10052_at,8.3457
100526820_at,7.0775
100527964_at,5.1825
100528062_at,5.9175
10053_at,8.6706
100533106_at,7.7558
100533107_at,4.1607
100533182_at,5.487
100533184_at,3.2143
10054_at,12.791
10055_at,9.7865
10056_at,10.087
10057_at,7.9282
10058_at,7.1559
10059_at,10.541
1006_at,3.5428
10060_at,3.64
10061_at,6.4771
100616668_at,4.0452
10062_at,6.7472
100628307_at,3.7577
100628315_at,3.5437
100630918_at,6.023
100631378_at,4.1228
100652740_at,4.3958
100652765_at,7.5033
100652768_at,5.1123
100652770_at,5.3362
100652787_at,4.4491
100652789_at,7.7932
100652791_at,3.2503
100652798_at,3.3646
100652824_at,3.772
100652825_at,3.9502
100652838_at,4.2686
100652843_at,4.8941
100652850_at,8.2479
100652853_at,5.0191
100652856_at,3.3092
100652860_at,3.2842
100652861_at,3.9931
100652874_at,4.5379
