ID_REF,VALUE,Description
285740_at,3.5247,uncharacterized LOC285740
285758_at,3.8912,uncharacterized LOC285758
285759_at,3.5299,uncharacterized FLJ34503
285768_at,3.8379,uncharacterized LOC285768
285780_at,3.2408,LY86 antisense RNA 1 (non-protein coding)
285782_at,3.6558,cancer antigen 1
285796_at,3.6665,uncharacterized LOC285796
285847_at,3.6384,uncharacterized LOC285847
285852_at,3.634,triggering receptor expressed on myeloid cells-like 4
285878_at,3.8166,uncharacterized LOC285878
285888_at,3.8152,canopy 1 homolog (zebrafish)
285889_at,3.7087,uncharacterized LOC285889
28590_at,3.6931,T cell receptor beta variable 7-8
285905_at,3.7302,integrator complex subunit 4-like 1
285941_at,3.642,chromosome 7 open reading frame 71
28595_at,3.9624,T cell receptor beta variable 7-3
285954_at,3.8551,uncharacterized LOC285954
285962_at,3.7229,uncharacterized LOC285962
285972_at,3.6484,uncharacterized LOC285972
286_at,3.8508,"ankyrin 1, erythrocytic"
286002_at,3.5261,uncharacterized LOC286002
286042_at,3.8666,"family with sequence similarity 86, member A pseudogene"
286046_at,3.7661,"XK, Kell blood group complex subunit-related family, member 6"
286083_at,3.7688,uncharacterized LOC286083
286097_at,3.5298,"EF-hand domain family, member A2"
2861_at,3.7364,protein-coupled receptor 37 (endothelin receptor type B-like)
286133_at,3.7932,"scavenger receptor class A, member 5 (putative)"
286135_at,3.7057,uncharacterized LOC286135
286177_at,3.7186,uncharacterized LOC286177
286178_at,3.717,uncharacterized LOC286178
286184_at,3.5371,uncharacterized LOC286184
286190_at,3.4353,uncharacterized LOC286190
2862_at,3.3589,receptor
286204_at,3.7493,crumbs homolog 2 (Drosophila)
286223_at,3.958,chromosome 9 open reading frame 47
286234_at,3.9422,chromosome 9 open reading frame 79
286359_at,3.8445,uncharacterized LOC286359
286370_at,3.7663,uncharacterized LOC286370
28638_at,3.8265,T cell receptor beta constant 2
28641_at,3.7589,T cell receptor alpha variable 40
286411_at,3.4288,uncharacterized LOC286411
286442_at,3.7058,uncharacterized LOC286442
28646_at,3.663,T cell receptor alpha variable 36/delta variable 7
286467_at,3.7927,"family with sequence similarity 195, member A pseudogene"
28648_at,3.5909,T cell receptor alpha variable 34
286514_at,3.4144,"melanoma antigen family B, 18"
286554_at,3.7374,BCL6 corepressor pseudogene 1
28656_at,3.7864,T cell receptor alpha variable 26-2
28658_at,3.5613,T cell receptor alpha variable 25
28660_at,3.4829,T cell receptor alpha variable 23/delta variable 6
28661_at,3.5919,T cell receptor alpha variable 22
28662_at,3.8326,T cell receptor alpha variable 21
28666_at,3.8225,T cell receptor alpha variable 17
28667_at,3.6139,T cell receptor alpha variable 16
28670_at,3.5978,T cell receptor alpha variable 13-2
28671_at,3.3871,T cell receptor alpha variable 13-1
28672_at,3.5175,T cell receptor alpha variable 12-3
28673_at,3.5581,T cell receptor alpha variable 12-2
28674_at,3.7652,T cell receptor alpha variable 12-1
28677_at,3.3066,T cell receptor alpha variable 9-2
2868_at,3.9253,protein-coupled receptor kinase 4
28680_at,3.8378,T cell receptor alpha variable 8-6
287015_at,3.6237,tripartite motif containing 42
28714_at,3.5363,T cell receptor alpha joining 41
28773_at,3.6515,immunoglobulin lambda variable 9-49
28778_at,3.6115,immunoglobulin lambda variable 6-57
28781_at,3.3797,immunoglobulin lambda variable 5-45
28785_at,3.3651,immunoglobulin lambda variable 4-60
2880_at,3.5873,peroxidase 5 (epididymal androgen-related protein)
28803_at,3.6139,immunoglobulin lambda variable 3-10
28809_at,3.8986,immunoglobulin lambda variable 3-1
2890_at,3.525,"receptor, ionotropic, AMPA 1"
28904_at,3.5623,immunoglobulin kappa variable 1D-8
2891_at,3.6611,"receptor, ionotropic, AMPA 2"
2892_at,3.6542,"receptor, ionotrophic, AMPA 3"
2893_at,3.7474,"receptor, ionotrophic, AMPA 4"
2894_at,3.9064,"receptor, ionotropic, delta 1"
28965_at,3.4829,"solute carrier family 27 (fatty acid transporter), member 6"
2897_at,3.6016,"receptor, ionotropic, kainate 1"
2898_at,3.8354,"receptor, ionotropic, kainate 2"
2899_at,3.7801,"receptor, ionotropic, kainate 3"
2900_at,3.5151,"receptor, ionotropic, kainate 4"
2903_at,3.7066,"receptor, ionotropic, N-methyl D-aspartate 2A"
2905_at,3.9721,"receptor, ionotropic, N-methyl D-aspartate 2C"
29106_at,3.5298,secretogranin III
2911_at,3.9091,"receptor, metabotropic 1"
29125_at,3.7396,chromosome 11 open reading frame 21
2917_at,3.6248,"receptor, metabotropic 7"
2918_at,3.473,"receptor, metabotropic 8"
2922_at,3.7148,peptide
2928_at,3.6126,homeobox 2
2938_at,3.5926,S-transferase alpha 1
2940_at,3.6157,S-transferase alpha 3
2952_at,3.8383,S-transferase theta 1
2974_at,3.9034,"cyclase 1, soluble, beta 2"
2977_at,3.4743,"cyclase 1, soluble, alpha 2"
2981_at,3.9601,cyclase activator 2B (uroguanylin)
2982_at,3.8537,"cyclase 1, soluble, alpha 3"
2983_at,3.667,"cyclase 1, soluble, beta 3"
2984_at,3.4854,cyclase 2C (heat stable enterotoxin receptor)
29850_at,3.3904,"transient receptor potential cation channel, subfamily M, member 5"
29851_at,3.7201,inducible T-cell co-stimulator
29881_at,3.7719,"NPC1 (Niemann-Pick disease, type C1, gene)-like 1"
29909_at,3.7355,G protein-coupled receptor 171
2993_at,3.8221,A (MNS blood group)
29931_at,3.8377,long intergenic non-protein coding RNA 312
29949_at,3.9282,interleukin 19
29951_at,3.5723,PDZ domain containing ring finger 4
29958_at,3.5981,dimethylglycine dehydrogenase
2996_at,3.5886,E (MNS blood group)
29974_at,3.5729,APOBEC1 complementation factor
2998_at,3.5107,synthase 2 (liver)
2999_at,3.7556,"H (cathepsin G-like 2, protein h-CCPX)"
29991_at,3.8515,odorant binding protein 2A
30009_at,3.7787,T-box 21
3001_at,3.838,"A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"
30010_at,3.6071,neurexophilin 1
30012_at,3.3997,T-cell leukemia homeobox 3
3002_at,3.6155,"B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)"
3003_at,3.6034,K (granzyme 3; tryptase II)
3004_at,3.9426,M (lymphocyte met-ase 1)
3018_at,3.8391,"cluster 1, H2bb"
3026_at,3.6018,binding protein 2
3036_at,3.8354,synthase 1
3037_at,3.8038,synthase 2
3042_at,3.6743,mu
3044_at,3.6664,beta pseudogene 1
3045_at,3.9432,delta
3049_at,3.7731,theta 1
3053_at,3.5302,"peptidase inhibitor, clade D (heparin cofactor), member 1"
3060_at,3.7456,(orexin) neuropeptide precursor
3061_at,3.2621,(orexin) receptor 1
3062_at,3.417,(orexin) receptor 2
3081_at,3.9633,"1,2-dioxygenase"
30813_at,3.6172,visual system homeobox 1
30814_at,3.8374,"phospholipase A2, group IIE"
30816_at,3.569,"endogenous retrovirus group W, member 1"
3082_at,3.7797,growth factor (hepapoietin A; scatter factor)
30820_at,3.5841,Kv channel interacting protein 1
3083_at,3.7967,activator
30832_at,3.6038,zinc finger protein 354C
30835_at,3.7693,CD209 molecule
30848_at,3.4413,cancer/testis antigen 2
3090_at,3.8131,in cancer 1
3117_at,3.7961,"histocompatibility complex, class II, DQ alpha 1"
312_at,3.7731,annexin A13
3131_at,3.7024,leukemia factor
3158_at,3.6339,synthase 2 (mitochondrial)
3172_at,3.8733,"nuclear factor 4, alpha"
3174_at,3.6639,"nuclear factor 4, gamma"
317701_at,3.8258,vomeronasal 1 receptor 2
317705_at,3.8173,vomeronasal 1 receptor 5 (gene/pseudogene)
317719_at,3.5374,kelch-like 10 (Drosophila)
317761_at,3.4789,chromosome 14 open reading frame 39
319_at,3.5213,apolipoprotein F
319085_at,3.6575,ITPK1 antisense RNA 1 (non-protein coding)
3196_at,3.5695,leukemia homeobox 2
3208_at,3.8879,
3211_at,3.8654,B1
3228_at,3.8622,C12
3238_at,3.3363,D12
3239_at,3.9236,D13
3242_at,3.7078,dioxygenase
3248_at,3.9172,dehydrogenase 15-(NAD)
3250_at,3.6294,protein
3283_at,3.4737,"dehydrogenase, 3 beta- and steroid delta-isomerase 1"
3284_at,3.5887,"dehydrogenase, 3 beta- and steroid delta-isomerase 2"
3290_at,3.6608,(11-beta) dehydrogenase 1
3294_at,3.7253,(17-beta) dehydrogenase 2
33_at,3.5471,"acyl-CoA dehydrogenase, long chain"
3316_at,3.9628,shock 27kDa protein 2
333929_at,3.7328,snail homolog 3 (Drosophila)
3346_at,3.5796,1
3347_at,3.5269,3
335_at,3.8579,apolipoprotein A-I
3352_at,3.8633,(serotonin) receptor 1D
3356_at,3.7703,(serotonin) receptor 2A
3357_at,3.6165,(serotonin) receptor 2B
3358_at,3.5711,(serotonin) receptor 2C
336_at,3.7316,apolipoprotein A-II
3361_at,3.7525,(serotonin) receptor 5A
3362_at,3.6403,(serotonin) receptor 6
3375_at,3.7247,amyloid polypeptide
337876_at,3.8495,chondroitin sulfate synthase 3
337970_at,3.5122,keratin associated protein 19-3
338_at,3.8613,apolipoprotein B (including Ag(x) antigen)
338004_at,3.6798,long intergenic non-protein coding RNA 226
338069_at,3.9148,ST7 overlapping transcript 4 (non-protein coding)
338094_at,3.8464,"family with sequence similarity 151, member A"
3381_at,3.6767,sialoprotein
338322_at,3.7667,"NLR family, pyrin domain containing 10"
338557_at,3.7788,omega-3 fatty acid receptor 1
338651_at,3.9615,uncharacterized LOC338651
338739_at,3.2261,uncharacterized LOC338739
338773_at,3.5357,transmembrane protein 119
338809_at,3.4284,chromosome 12 open reading frame 74
338862_at,3.3907,uncharacterized LOC338862
338864_at,3.6137,long intergenic non-protein coding RNA 347
338872_at,3.6329,C1q and tumor necrosis factor related protein 9
339_at,3.7282,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
339298_at,3.7254,uncharacterized LOC339298
339345_at,3.6836,nanos homolog 2 (Drosophila)
339390_at,3.7369,"C-type lectin domain family 4, member G"
339400_at,3.8925,uncharacterized LOC339400
339416_at,3.7073,ankyrin repeat domain 45
339442_at,3.8,uncharacterized LOC339442
339479_at,3.3834,"family with sequence similarity 5, member C"
339512_at,3.3377,chromosome 1 open reading frame 110
339535_at,3.5158,uncharacterized LOC339535
339541_at,3.8296,chromosome 1 open reading frame 228
339568_at,3.935,uncharacterized LOC339568
339593_at,3.8318,uncharacterized LOC339593
339669_at,3.4906,chromosome 22 open reading frame 33
339685_at,3.8212,uncharacterized LOC339685
339766_at,3.6027,HEAT repeat containing 7B1
339788_at,3.6202,uncharacterized LOC339788
339789_at,3.7857,long intergenic non-protein coding RNA 299
339807_at,3.8287,uncharacterized LOC339807
339829_at,3.5382,coiled-coil domain containing 39
339874_at,3.9093,uncharacterized LOC339874
339929_at,3.7822,LPP antisense RNA 2 (non-protein coding)
339965_at,3.7247,coiled-coil domain containing 158
339975_at,3.8185,uncharacterized LOC339975
339976_at,3.8013,tripartite motif family-like 1
339977_at,3.5968,leucine rich repeat containing 66
340017_at,3.4095,uncharacterized LOC340017
340094_at,3.5907,uncharacterized LOC340094
340107_at,3.6062,uncharacterized LOC340107
340146_at,3.8265,"solute carrier family 35, member D3"
340168_at,3.6746,developmental pluripotency associated 5
340206_at,3.5962,triggering receptor expressed on myeloid cells-like 3
340273_at,3.6367,"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
340351_at,3.7541,ATP/GTP binding protein-like 3
340390_at,3.6535,KIAA1875
340419_at,3.4031,R-spondin 2
340533_at,3.8268,KIAA2022
340578_at,3.6252,DDB1 and CUL4 associated factor 12-like 2
340602_at,3.938,chromosome X open reading frame 67
340895_at,3.5213,chromosome 10 open reading frame 112
341567_at,3.9481,"H1 histone family, member N, testis-specific"
341640_at,3.575,FRAS1 related extracellular matrix protein 2
341880_at,3.732,"solute carrier family 35, member F4"
341947_at,3.3341,cytochrome c oxidase subunit VIIIC
342574_at,3.7193,keratin 27
342898_at,3.7568,syncollin
343450_at,3.4605,"potassium channel, subfamily T, member 2"
3439_at,3.1955,alpha 1
3440_at,3.8529,alpha 2
344018_at,3.4279,folliculogenesis specific basic helix-loop-helix
344148_at,3.2806,NCK-associated protein 5
3442_at,3.5655,alpha 5
3443_at,3.5148,alpha 6
3445_at,3.6829,alpha 8
344752_at,3.6823,arylacetamide deacetylase-like 2
344838_at,3.6859,progestin and adipoQ receptor family member IX
3449_at,3.8265,alpha 16
345_at,3.6597,apolipoprotein C-III
345222_at,3.91,chromosome 4 open reading frame 44
345557_at,3.5792,"phosphatidylinositol-specific phospholipase C, X domain containing 3"
3456_at,3.6926,"beta 1, fibroblast"
345611_at,3.2844,"immunity-related GTPase family, M"
345895_at,3.3025,radial spoke head 4 homolog A (Chlamydomonas)
346007_at,3.593,eyes shut homolog (Drosophila)
346562_at,3.594,"guanine nucleotide binding protein, alpha transducing 3"
3467_at,3.8634,omega 1
347344_at,3.9086,zinc finger protein 81
347475_at,3.4996,coiled-coil domain containing 160
3479_at,3.8276,growth factor 1 (somatomedin C)
348761_at,3.6959,uncharacterized LOC348761
348807_at,3.8135,coiled-coil domain containing 37
348980_at,3.5846,hyperpolarization activated cyclic nucleotide-gated potassium channel 1
3495_at,3.7206,heavy constant delta
349667_at,3.6278,reticulon 4 receptor-like 2
350_at,3.812,apolipoprotein H (beta-2-glycoprotein I)
3512_at,3.527,"J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"
353174_at,3.9,zinc activated ligand-gated ion channel
353189_at,3.9605,"solute carrier organic anion transporter family, member 4C1"
353324_at,3.5902,spermatogenesis associated 12
353514_at,3.6986,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"
354_at,3.8539,kallikrein-related peptidase 3
3543_at,3.3653,lambda-like polypeptide 1
3547_at,3.7116,"superfamily, member 1"
3558_at,3.5565,2
3562_at,3.6755,"3 (colony-stimulating factor, multiple)"
3565_at,3.4924,4
3567_at,3.4811,"5 (colony-stimulating factor, eosinophil)"
3568_at,3.6644,"5 receptor, alpha"
3574_at,3.3627,7
3578_at,3.3954,9
3586_at,3.6787,10
359_at,3.844,aquaporin 2 (collecting duct)
3593_at,3.2412,"12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"
3598_at,3.9319,"13 receptor, alpha 2"
3603_at,3.8452,16
3605_at,3.5877,17A
361_at,3.5527,aquaporin 4
3617_at,3.4402,matrix proteoglycan 1
362_at,3.8636,aquaporin 5
3630_at,3.6522,
3642_at,3.5718,1
3645_at,3.9047,receptor-related receptor
3651_at,3.628,and duodenal homeobox 1
3653_at,3.7305,in Prader-Willi syndrome (non-protein coding)
3680_at,3.778,alpha 9
3681_at,3.4364,alpha D
3683_at,3.7517,"alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
3697_at,3.7647,inhibitor heavy chain 1
3699_at,3.8955,inhibitor heavy chain 3
3702_at,3.9032,T-cell kinase
3736_at,3.7765,"voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"
3737_at,3.7779,"voltage-gated channel, shaker-related subfamily, member 2"
3738_at,3.4696,"voltage-gated channel, shaker-related subfamily, member 3"
3743_at,3.7776,"voltage-gated channel, shaker-related subfamily, member 7"
374355_at,3.8602,chromosome 10 open reading frame 96
374387_at,3.4687,uncharacterized DKFZp779M0652
374403_at,3.9144,"TBC1 domain family, member 10C"
374470_at,3.5088,chromosome 12 open reading frame 42
374491_at,3.5914,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6
3745_at,3.499,"voltage-gated channel, Shab-related subfamily, member 1"
3746_at,3.4972,"voltage-gated channel, Shaw-related subfamily, member 1"
374618_at,3.9252,testis expressed 9
3747_at,3.4892,"voltage-gated channel, Shaw-related subfamily, member 2"
374768_at,3.8292,spermatid maturation 1
374786_at,3.5525,EF-hand calcium binding domain 5
3748_at,3.9467,"voltage-gated channel, Shaw-related subfamily, member 3"
374860_at,3.6367,ankyrin repeat domain 30B
374897_at,3.8197,suprabasin
374900_at,3.9428,zinc finger protein 568
374907_at,3.6402,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"
374946_at,3.8376,chromosome 1 open reading frame 187
374987_at,3.7195,NEXN antisense RNA 1 (non-protein coding)
3751_at,3.516,"voltage-gated channel, Shal-related subfamily, member 2"
3752_at,3.9097,"voltage-gated channel, Shal-related subfamily, member 3"
3753_at,3.7047,"voltage-gated channel, Isk-related family, member 1"
3754_at,3.9458,"voltage-gated channel, subfamily F, member 1"
3756_at,3.5984,"voltage-gated channel, subfamily H (eag-related), member 1"
375612_at,3.7193,lipoma HMGIC fusion partner-like 3
3758_at,3.7769,"inwardly-rectifying channel, subfamily J, member 1"
3760_at,3.65,"inwardly-rectifying channel, subfamily J, member 3"
3761_at,3.852,"inwardly-rectifying channel, subfamily J, member 4"
3764_at,3.9731,"inwardly-rectifying channel, subfamily J, member 8"
3766_at,3.7028,"inwardly-rectifying channel, subfamily J, member 10"
3767_at,3.9205,"inwardly-rectifying channel, subfamily J, member 11"
3769_at,3.8403,"inwardly-rectifying channel, subfamily J, member 13"
3773_at,3.6008,"inwardly-rectifying channel, subfamily J, member 16"
3778_at,3.7565,"large conductance calcium-activated channel, subfamily M, alpha member 1"
3782_at,3.9366,"intermediate/small conductance calcium-activated channel, subfamily N, member 3"
378825_at,3.9676,long intergenic non-protein coding RNA 162
378925_at,3.3834,ring finger protein 148
3805_at,3.8664,"cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"
3812_at,3.9567,"cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
3818_at,3.7636,"B, plasma (Fletcher factor) 1"
3824_at,3.806,"cell lectin-like receptor subfamily D, member 1"
3827_at,3.6723,1
383_at,3.5107,"arginase, liver"
3846_at,3.9361,associated protein 5-9
3848_at,3.588,1
3850_at,3.4409,3
3859_at,3.7695,12
386618_at,3.4031,potassium channel tetramerisation domain containing 4
387104_at,3.6731,chromosome 6 open reading frame 174
387357_at,3.4957,thymocyte selection associated
387486_at,3.4808,long intergenic non-protein coding RNA 320
387597_at,3.5702,immunoglobulin-like domain containing receptor 2
387640_at,3.5892,chromosome 10 open reading frame 140
387694_at,3.6459,SH2 domain containing 4B
387695_at,3.6358,chromosome 10 open reading frame 99
387718_at,3.7728,chromosome 10 open reading frame 122
387755_at,3.9656,inscuteable homolog (Drosophila)
387758_at,3.908,fin bud initiation factor homolog (zebrafish)
387763_at,3.9762,chromosome 11 open reading frame 96
387837_at,3.6503,"C-type lectin domain family 12, member B"
387856_at,3.9196,chromosome 12 open reading frame 68
387978_at,3.8479,chromosome 14 open reading frame 23
388011_at,3.7817,chromosome 14 open reading frame 64
3881_at,3.8708,31
388323_at,3.5307,glycolipid transfer protein domain containing 2
388336_at,3.7159,shisa homolog 6 (Xenopus laevis)
388394_at,3.7025,reprimo-like
388419_at,3.5925,BTB (POZ) domain containing 17
388567_at,3.9112,zinc finger protein 749
388585_at,3.9631,hairy and enhancer of split 5 (Drosophila)
3886_at,3.4629,35
388630_at,3.6532,UPF0632 protein A
388698_at,3.8539,filaggrin family member 2
388743_at,3.8433,calpain 8
388815_at,3.6621,long intergenic non-protein coding RNA 478
388939_at,3.8021,chromosome 2 open reading frame 71
388951_at,3.7029,TSPY-like 6
3890_at,3.6187,84
389023_at,3.7718,uncharacterized LOC389023
389043_at,3.819,uncharacterized LOC389043
389073_at,3.7822,chromosome 2 open reading frame 80
389114_at,3.5491,zinc finger protein 662
389177_at,3.4892,transmembrane protein 212
389206_at,3.4537,BEN domain containing 4
389320_at,3.3939,chromosome 5 open reading frame 48
389332_at,3.4353,uncharacterized LOC389332
389376_at,3.9501,surfactant associated 2
389432_at,3.9108,sterile alpha motif domain containing 5
389434_at,3.3341,iodotyrosine deiodinase
389715_at,3.7168,transmembrane protein C9orf144B pseudogene
389874_at,3.5369,"zinc finger, CCHC domain containing 13"
3899_at,3.6345,"family, member 3"
389932_at,3.7029,"aldo-keto reductase, truncated"
390059_at,3.9513,"olfactory receptor, family 51, subfamily M, member 1"
3904_at,3.564,immunoglobulin-like receptor 2
390616_at,3.9579,ankyrin repeat domain 34C
390874_at,3.8319,one cut homeobox 3
390892_at,3.6883,"olfactory receptor, family 7, subfamily A, member 10"
392307_at,3.9624,chromosome 9 open reading frame 128
3929_at,3.8346,binding protein
3933_at,3.7824,1
3937_at,3.5647,cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
395_at,3.7479,Rho GTPase activating protein 6
3950_at,3.7179,cell-derived chemotaxin 2
3957_at,3.847,"galactoside-binding, soluble, 2"
3973_at,3.5795,hormone/choriogonadotropin receptor
3990_at,3.6664,hepatic
3991_at,3.881,hormone-sensitive
399694_at,3.7439,"SHC (Src homology 2 domain containing) family, member 4"
399717_at,3.666,uncharacterized LOC399717
399806_at,3.7512,uncharacterized LOC399806
399821_at,3.4484,uncharacterized LOC399821
399947_at,3.3687,chromosome 11 open reading frame 87
399949_at,3.2143,chromosome 11 open reading frame 88
40_at,3.7989,"amiloride-sensitive cation channel 1, neuronal"
400084_at,3.8016,uncharacterized LOC400084
400120_at,3.5169,serine-rich and transmembrane domain containing 1
400238_at,3.8085,uncharacterized LOC400238
400258_at,3.9298,chromosome 14 open reading frame 180
400360_at,3.7231,chromosome 15 open reading frame 54
4004_at,3.8514,domain only 1 (rhombotin 1)
400456_at,3.5024,uncharacterized LOC400456
400617_at,3.354,uncharacterized LOC400617
400654_at,3.7661,uncharacterized LOC400654
400655_at,3.7753,uncharacterized LOC400655
400680_at,3.2345,uncharacterized LOC400680
400692_at,3.489,uncharacterized LOC400692
400713_at,3.9342,zinc finger protein 880
400752_at,3.844,uncharacterized LOC400752
400761_at,3.7703,uncharacterized LOC400761
400830_at,3.4353,"defensin, beta 132"
400891_at,3.6237,chromosome 14 open reading frame 166B pseudogene
4009_at,3.664,"homeobox transcription factor 1, alpha"
400940_at,3.5127,uncharacterized LOC400940
400941_at,3.4143,long intergenic non-protein coding RNA 487
400955_at,3.6665,uncharacterized LOC400955
400958_at,3.8749,uncharacterized LOC400958
400960_at,3.7462,PCBP1 antisense RNA 1 (non-protein coding)
401024_at,3.6518,fibrous sheath interacting protein 2
401067_at,3.798,IQ motif containing F3
401074_at,3.8567,uncharacterized LOC401074
401081_at,3.2934,uncharacterized LOC401081
401097_at,3.6597,chromosome 3 open reading frame 80
401114_at,3.7691,FLJ35816 protein
401124_at,3.453,death domain containing 1
401134_at,3.6109,uncharacterized LOC401134
401145_at,3.943,"family with sequence similarity 190, member A"
401176_at,3.8046,uncharacterized LOC401176
401190_at,3.5944,regulator of G-protein signaling 7 binding protein
401233_at,3.5576,HIV-1 Tat specific factor 1 pseudogene 2
401262_at,3.7786,cysteine-rich protein 3
401265_at,3.7214,kelch-like 31 (Drosophila)
401288_at,3.9191,long intergenic non-protein coding RNA 242
401324_at,3.7911,uncharacterized LOC401324
401442_at,3.7314,uncharacterized LOC401442
401463_at,3.7216,uncharacterized LOC401463
401474_at,3.4883,sterile alpha motif domain containing 12
401494_at,3.9617,protein tyrosine phosphatase-like A domain containing 2
401546_at,3.475,chromosome 9 open reading frame 152
401551_at,3.4336,WD repeat domain 38
401612_at,3.7193,mitochondrial carrier triple repeat 6
4018_at,3.6303,Lp(a)
4023_at,3.7958,lipase
4025_at,3.7942,
402665_at,3.901,IgLON family member 5
403314_at,3.7075,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)"
404220_at,3.767,chromosome 6 open reading frame 201
404266_at,3.8885,uncharacterized LOC404266
4045_at,3.876,system-associated membrane protein
404744_at,3.7578,asthma-associated alternatively spliced gene 1
4049_at,3.7615,"alpha (TNF superfamily, member 1)"
4062_at,3.8926,"antigen 6 complex, locus H"
4063_at,3.7181,antigen 9
4064_at,3.8016,molecule
4068_at,3.7491,domain containing 1A
4069_at,3.708,
407738_at,3.6425,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1"
4081_at,3.9203,1 (C. elegans)
408263_at,3.7414,fibronectin type III domain containing 9
4094_at,3.4083,musculoaponeurotic fibrosarcoma oncogene homolog (avian)
4099_at,3.8093,associated glycoprotein
4103_at,3.6129,"antigen family A, 4"
4107_at,3.5909,"antigen family A, 8"
4109_at,3.8434,"antigen family A, 10"
4110_at,3.3884,"antigen family A, 11"
4112_at,3.7877,"antigen family B, 1"
4113_at,3.8131,"antigen family B, 2"
4114_at,3.6186,"antigen family B, 3"
4115_at,3.5645,"antigen family B, 4"
414201_at,3.5017,ZNF32 antisense RNA 3 (non-protein coding)
414235_at,3.9268,chromosome 10 open reading frame 108
414236_at,3.681,chromosome 10 open reading frame 55
414260_at,3.6273,chromosome 10 open reading frame 136
414301_at,3.8562,DNA-damage inducible 1 homolog 1 (S. cerevisiae)
4148_at,3.9364,3
414918_at,3.9252,"family with sequence similarity 116, member B"
414926_at,3.764,chromosome 15 open reading frame 50
415056_at,3.6679,uncharacterized LOC415056
4153_at,3.4697,"lectin (protein C) 2, soluble"
4159_at,3.9235,3 receptor
4168_at,3.2844,cell line derived transforming sequence
417_at,3.7987,ADP-ribosyltransferase 1
4184_at,3.898,mitochondria-associated cysteine-rich protein
419_at,3.8532,ADP-ribosyltransferase 3
4210_at,3.7731,fever
4223_at,3.4628,homeobox 2
4224_at,3.6255,"A, alpha (PABA peptide hydrolase)"
4239_at,3.9205,protein 4
4246_at,3.6556,"family 2A, member 1"
4250_at,3.7109,"family 2A, member 2"
4261_at,3.7933,"II, major histocompatibility complex, transactivator"
4283_at,3.9767,(C-X-C motif) ligand 9
4284_at,3.5137,intrinsic protein of lens fiber
4295_at,3.7856,
430_at,3.5235,achaete-scute complex homolog 2 (Drosophila)
4300_at,3.6983,"or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"
4308_at,3.5928,"receptor potential cation channel, subfamily M, member 1"
4314_at,3.7966,"metallopeptidase 3 (stromelysin 1, progelatinase)"
4317_at,3.7598,metallopeptidase 8 (neutrophil collagenase)
431707_at,3.4201,LIM homeobox 8
4325_at,3.9326,metallopeptidase 16 (membrane-inserted)
4332_at,3.4098,cell nuclear differentiation antigen
434_at,3.9373,agouti signaling protein
4340_at,3.6282,oligodendrocyte glycoprotein
4342_at,3.8,Moloney murine sarcoma viral oncogene homolog
4345_at,3.8597,molecule
4352_at,3.8412,leukemia virus oncogene
4353_at,3.6597,
438_at,3.6876,acetylserotonin O-methyltransferase
439916_at,3.5186,chromosome 12 open reading frame 37
439927_at,3.5537,chromosome 1 open reading frame 180
439941_at,3.7193,FER1L6 antisense RNA 1 (non-protein coding)
440072_at,3.7639,long intergenic non-protein coding RNA 167
440073_at,3.854,IQ motif and Sec7 domain 3
440087_at,3.9171,chromosome 12 open reading frame 69
440131_at,3.9581,uncharacterized LOC440131
440184_at,3.3492,long intergenic non-protein coding RNA 238
440279_at,3.5381,unc-13 homolog C (C. elegans)
440335_at,3.8937,uncharacterized LOC440335
440508_at,3.7656,"C-type lectin domain family 4, member G pseudogene 1"
440556_at,3.9234,uncharacterized LOC440556
440560_at,3.4057,PRAME family member 11
440704_at,3.5518,uncharacterized LOC440704
440757_at,3.8331,DZANK1 antisense RNA 1 (non-protein coding)
440854_at,3.6468,calpain 14
440900_at,3.6371,uncharacterized LOC440900
440915_at,3.1204,"POTE ankyrin domain family, member K, pseudogene"
440956_at,3.6237,IQ motif containing F6
440981_at,3.5425,phospholipid scramblase-like
441009_at,3.8564,uncharacterized LOC441009
441025_at,3.8449,uncharacterized LOC441025
441061_at,3.8848,membrane-associated ring finger (C3HC4) 11
441179_at,3.6858,uncharacterized LOC441179
441204_at,3.909,uncharacterized LOC441204
441666_at,3.5116,zinc finger protein 91 pseudogene
442028_at,3.6643,uncharacterized LOC442028
