ID_REF,VALUE,Description
100506237_at,3.8746,NKX2-1 antisense RNA 1 (non-protein coding)
100506238_at,3.6033,uncharacterized LOC100506238
100506243_at,3.7631,KRAB box domain containing 1
100506247_at,3.4804,uncharacterized LOC100506247
100506258_at,3.7112,uncharacterized LOC100506258
100506267_at,3.6891,uncharacterized LOC100506267
100506272_at,3.52,uncharacterized LOC100506272
100506274_at,3.36,uncharacterized LOC100506274
100506286_at,3.3461,uncharacterized LOC100506286
100506289_at,3.3589,uncharacterized LOC100506289
100506291_at,3.5665,uncharacterized LOC100506291
100506327_at,3.9491,uncharacterized LOC100506327
100506331_at,3.526,uncharacterized LOC100506331
100506348_at,3.9476,uncharacterized LOC100506348
100506351_at,3.9057,uncharacterized LOC100506351
100506354_at,3.8815,uncharacterized LOC100506354
100506358_at,3.7723,uncharacterized LOC100506358
100506371_at,3.5936,uncharacterized LOC100506371
100506377_at,3.8262,uncharacterized LOC100506377
100506379_at,3.6262,uncharacterized LOC100506379
100506385_at,3.5062,uncharacterized LOC100506385
100506387_at,3.5433,uncharacterized LOC100506387
100506388_at,3.9268,uncharacterized LOC100506388
100506397_at,3.6836,uncharacterized LOC100506397
100506403_at,3.7206,uncharacterized LOC100506403
100506405_at,3.8109,uncharacterized LOC100506405
100506409_at,3.8876,uncharacterized LOC100506409
100506413_at,3.5307,uncharacterized LOC100506413
100506415_at,3.6249,uncharacterized LOC100506415
100506433_at,3.8534,uncharacterized LOC100506433
100506446_at,3.7863,uncharacterized LOC100506446
100506459_at,3.6808,uncharacterized LOC100506459
100506462_at,3.5397,uncharacterized LOC100506462
100506465_at,3.9058,uncharacterized LOC100506465
100506475_at,3.3356,EGFLAM antisense RNA 2 (non-protein coding)
100506484_at,3.6816,uncharacterized LOC100506484
100506485_at,3.7448,uncharacterized LOC100506485
100506489_at,3.3119,uncharacterized LOC100506489
100506492_at,3.85,DSCAM antisense RNA 1 (non-protein coding)
100506494_at,3.9442,uncharacterized LOC100506494
100506495_at,3.3292,LIFR antisense RNA 1 (non-protein coding)
100506496_at,3.7277,uncharacterized LOC100506496
100506498_at,3.4736,uncharacterized LOC100506498
100506530_at,3.4854,uncharacterized LOC100506530
100506542_at,3.4231,uncharacterized LOC100506542
100506555_at,3.6998,PVRL3 antisense RNA 1 (non-protein coding)
100506557_at,3.6234,uncharacterized LOC100506557
100506558_at,3.6401,uncharacterized LOC100506558
100506577_at,3.4228,uncharacterized LOC100506577
100506582_at,3.9248,uncharacterized LOC100506582
100506627_at,3.3426,doublecortin domain containing 5
100506629_at,3.7159,uncharacterized LOC100506629
100506652_at,3.5427,uncharacterized LOC100506652
100506660_at,3.6646,uncharacterized LOC100506660
100506671_at,3.6759,PHKA1 antisense RNA 1 (non-protein coding)
100506679_at,3.7266,uncharacterized LOC100506679
100506681_at,3.6958,JARID2 antisense RNA 1 (non-protein coding)
100506684_at,3.9424,uncharacterized LOC100506684
100506697_at,3.2422,long intergenic non-protein coding RNA 327
100506724_at,3.4408,LSAMP antisense RNA 4 (non-protein coding)
100506725_at,3.9054,uncharacterized LOC100506725
100506731_at,3.9741,uncharacterized LOC100506731
100506733_at,3.2558,uncharacterized LOC100506733
100506742_at,3.8352,caspase 12 (gene/pseudogene)
100506757_at,3.2866,uncharacterized LOC100506757
100506758_at,3.9243,uncharacterized LOC100506758
100506765_at,3.3793,IGSF11 antisense RNA 1 (non-protein coding)
100506767_at,3.3895,uncharacterized LOC100506767
100506769_at,3.5286,uncharacterized LOC100506769
100506776_at,3.5094,uncharacterized LOC100506776
100506790_at,3.5536,uncharacterized LOC100506790
100506791_at,3.542,uncharacterized LOC100506791
100506795_at,3.4356,uncharacterized LOC100506795
100506816_at,3.6132,uncharacterized LOC100506816
100506840_at,3.5968,IQ motif containing F5 pseudogene
100506851_at,3.6139,uncharacterized LOC100506851
100506874_at,3.6727,uncharacterized LOC100506874
100506880_at,3.6562,uncharacterized LOC100506880
100506906_at,3.8546,FLNB antisense RNA 1 (non-protein coding)
100506907_at,3.8004,uncharacterized LOC100506907
100506926_at,3.5293,uncharacterized LOC100506926
100506948_at,3.8256,uncharacterized LOC100506948
100506965_at,3.7567,uncharacterized LOC100506965
100506972_at,3.9392,uncharacterized protein C14orf113-like
100506974_at,3.4363,uncharacterized LOC100506974
100506983_at,3.7506,uncharacterized LOC100506983
100506994_at,3.6018,uncharacterized LOC100506994
100506999_at,3.2812,uncharacterized LOC100506999
100507000_at,3.8091,uncharacterized LOC100507000
100507008_at,3.7695,uncharacterized LOC100507008
100507027_at,3.8135,uncharacterized LOC100507027
100507033_at,3.8653,uncharacterized LOC100507033
100507039_at,3.4568,uncharacterized LOC100507039
100507049_at,3.92,uncharacterized LOC100507049
100507058_at,3.753,uncharacterized LOC100507058
100507064_at,3.5163,uncharacterized LOC100507064
100507066_at,3.6926,uncharacterized LOC100507066
100507082_at,3.598,ADAMTS9 antisense RNA 1 (non-protein coding)
100507098_at,3.6378,ADAMTS9 antisense RNA 2 (non-protein coding)
100507099_at,3.4982,FRY antisense RNA 1 (non-protein coding)
100507114_at,3.595,uncharacterized LOC100507114
100507135_at,3.5623,SPG20 opposite strand
100507140_at,3.649,uncharacterized LOC100507140
100507143_at,3.6319,uncharacterized LOC100507143
100507160_at,3.2979,uncharacterized LOC100507160
100507162_at,3.5793,uncharacterized LOC100507162
100507164_at,3.7193,uncharacterized LOC100507164
100507165_at,3.9243,uncharacterized LOC100507165
100507173_at,3.7382,uncharacterized LOC100507173
100507193_at,3.5568,uncharacterized LOC100507193
100507201_at,3.4407,uncharacterized LOC100507201
100507221_at,3.2954,uncharacterized LOC100507221
100507228_at,3.803,uncharacterized LOC100507228
100507229_at,3.879,NA
100507240_at,3.4162,uncharacterized LOC100507240
100507244_at,3.8622,uncharacterized LOC100507244
100507253_at,3.6988,C13orf44 antisense RNA 1 (non-protein coding)
100507265_at,3.6598,uncharacterized LOC100507265
100507267_at,3.7624,uncharacterized LOC100507267
100507274_at,3.5634,uncharacterized LOC100507274
100507288_at,3.8349,uncharacterized LOC100507288
100507300_at,3.6946,uncharacterized LOC100507300
100507353_at,3.4179,uncharacterized LOC100507353
100507384_at,3.5722,uncharacterized LOC100507384
100507389_at,3.8724,uncharacterized LOC100507389
100507410_at,3.9001,uncharacterized LOC100507410
100507428_at,3.6795,long intergenic non-protein coding RNA 458
100507429_at,3.8406,uncharacterized LOC100507429
100507449_at,3.835,uncharacterized LOC100507449
100507461_at,3.8253,uncharacterized LOC100507461
100507462_at,3.2376,uncharacterized LOC100507462
100507466_at,3.6642,uncharacterized LOC100507466
100507468_at,3.6264,uncharacterized LOC100507468
100507470_at,3.4635,uncharacterized LOC100507470
100507477_at,3.9595,uncharacterized LOC100507477
100507480_at,3.7671,uncharacterized LOC100507480
100507498_at,3.4583,uncharacterized LOC100507498
100507511_at,3.4444,uncharacterized LOC100507511
100507513_at,3.5629,uncharacterized LOC100507513
100507520_at,3.9555,uncharacterized LOC100507520
100507524_at,3.4268,ARHGEF26 antisense RNA 1 (non-protein coding)
100507525_at,3.8044,uncharacterized LOC100507525
100507531_at,3.7463,uncharacterized LOC100507531
100507534_at,3.5252,uncharacterized LOC100507534
100507537_at,3.2058,uncharacterized LOC100507537
100507560_at,3.8486,uncharacterized LOC100507560
100507562_at,3.8232,uncharacterized LOC100507562
100507564_at,3.9126,uncharacterized LOC100507564
100507568_at,3.639,uncharacterized LOC100507568
100507570_at,3.7674,uncharacterized LOC100507570
100507579_at,3.5255,uncharacterized LOC100507579
100507580_at,3.54,uncharacterized LOC100507580
100507584_at,3.8626,uncharacterized LOC100507584
100507594_at,3.6121,uncharacterized LOC100507594
100507596_at,3.653,uncharacterized LOC100507596
100507600_at,3.7691,uncharacterized LOC100507600
100507603_at,3.199,uncharacterized LOC100507603
100507605_at,3.5434,uncharacterized LOC100507605
100507616_at,3.5608,uncharacterized LOC100507616
100507629_at,3.4561,uncharacterized LOC100507629
100507630_at,3.7193,uncharacterized LOC100507630
100507632_at,3.5722,uncharacterized LOC100507632
100507634_at,3.801,uncharacterized LOC100507634
100507652_at,3.857,uncharacterized LOC100507652
100507654_at,3.649,uncharacterized LOC100507654
100507660_at,3.6762,SRGAP3 antisense RNA 2 (non-protein coding)
100533184_at,3.2143,ARHGAP19-SLIT1 readthrough
1006_at,3.5428,"8, type 2"
